issn,issn_norm,title,title_norm,publisher,imprint,model,usd,eur,gbp,source
2662-4079,26624079,Current Tissue Microenvironment Reports,current tissue microenvironment reports,Springer Nature,Springer,hybrid,3090,2490,2190,2026 Springer Nature hybrid journals.pdf
2196-3029,21963029,Current Transplantation Reports,current transplantation reports,Springer Nature,Springer,hybrid,3890,2990,2590,2026 Springer Nature hybrid journals.pdf
2198-6096,21986096,Current Trauma Reports,current trauma reports,Springer Nature,Springer,hybrid,4290,3190,2790,2026 Springer Nature hybrid journals.pdf
2196-3053,21963053,Current Treatment Options in Allergy,current treatment options allergy,Springer Nature,Springer,hybrid,3990,2990,2590,2026 Springer Nature hybrid journals.pdf
1534-3189,15343189,Current Treatment Options in Cardiovascular Medicine,current treatment options cardiovascular medicine,Springer Nature,Springer,hybrid,4290,3190,2790,2026 Springer Nature hybrid journals.pdf
1534-309X,1534309X,Current Treatment Options in Gastroenterology,current treatment options gastroenterology,Springer Nature,Springer,hybrid,3990,2990,2590,2026 Springer Nature hybrid journals.pdf
1534-3138,15343138,Current Treatment Options in Neurology,current treatment options neurology,Springer Nature,Springer,hybrid,4390,3490,2890,2026 Springer Nature hybrid journals.pdf
1534-6277,15346277,Current Treatment Options in Oncology,current treatment options oncology,Springer Nature,Springer,hybrid,5190,4090,3290,2026 Springer Nature hybrid journals.pdf
2198-6088,21986088,Current Treatment Options in Pediatrics,current treatment options pediatrics,Springer Nature,Springer,hybrid,4390,3290,2890,2026 Springer Nature hybrid journals.pdf
2196-3061,21963061,Current Treatment Options in Psychiatry,current treatment options psychiatry,Springer Nature,Springer,hybrid,4890,3890,3090,2026 Springer Nature hybrid journals.pdf
2196-3045,21963045,Current Tropical Medicine Reports,current tropical medicine reports,Springer Nature,Springer,hybrid,4290,3190,2790,2026 Springer Nature hybrid journals.pdf
1534-6285,15346285,Current Urology Reports,current urology reports,Springer Nature,Springer,hybrid,5090,3990,3190,2026 Springer Nature hybrid journals.pdf
2367-1793,23671793,Curriculum Perspectives,curriculum perspectives,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2196-2928,21962928,Customer Needs and Solutions,customer needs solutions,Springer Nature,Springer,hybrid,3290,2590,2290,2026 Springer Nature hybrid journals.pdf
1573-8337,15738337,Cybernetics and Systems Analysis,cybernetics systems analysis,Springer Nature,Springer,hybrid,3290,2790,2390,2026 Springer Nature hybrid journals.pdf
1573-0778,15730778,Cytotechnology,cytotechnology,Springer Nature,Springer,hybrid,4390,3290,2890,2026 Springer Nature hybrid journals.pdf
1572-9141,15729141,Czechoslovak Mathematical Journal,czechoslovak mathematical journal,Springer Nature,Springer,hybrid,3090,2490,2090,2026 Springer Nature hybrid journals.pdf
1569-7274,15697274,Dao,dao,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2008-2231,20082231,DARU Journal of Pharmaceutical Sciences,daru journal pharmaceutical sciences,Springer Nature,Springer,hybrid,4790,3790,2990,2026 Springer Nature hybrid journals.pdf
3059-4790,30594790,Das Magazin für Health Professionals – ÖKZ,das magazin f r health professionals kz,Springer Nature,SpringerMedizin,hybrid,3290,2790,2390,2026 Springer Nature hybrid journals.pdf
1573-756X,1573756X,Data Mining and Knowledge Discovery,data mining knowledge discovery,Springer Nature,Springer,hybrid,3390,2790,2390,2026 Springer Nature hybrid journals.pdf
2948-1368,29481368,Data Science for Transportation,data science transportation,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1610-1995,16101995,Datenbank-Spektrum,datenbank spektrum,Springer Nature,Springer,hybrid,3290,2790,2390,2026 Springer Nature hybrid journals.pdf
1862-2607,18622607,Datenschutz und Datensicherheit - DuD,datenschutz und datensicherheit dud,Springer Nature,Springer,hybrid,3290,2790,2390,2026 Springer Nature hybrid journals.pdf
1572-9982,15729982,De Economist,de economist,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
2197-1722,21971722,DECISION,decision,Springer Nature,Springer,hybrid,3090,2490,2190,2026 Springer Nature hybrid journals.pdf
1129-6569,11296569,Decisions in Economics and Finance,decisions economics finance,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1432-1440,14321440,Der Nervenarzt,der nervenarzt,Springer Nature,Springer,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
1432-2129,14322129,Der Schmerz,der schmerz,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
1572-8080,15728080,Design Automation for Embedded Systems,design automation embedded systems,Springer Nature,Springer,hybrid,3690,2890,2490,2026 Springer Nature hybrid journals.pdf
1573-7586,15737586,"Designs, Codes and Cryptography",designs codes cryptography,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2365-9521,23659521,Deutsche Vierteljahrsschrift für Literaturwissenschaft und Geistesgeschichte,deutsche vierteljahrsschrift f r literaturwissenschaft und geistesgeschichte,Springer Nature,Springer,hybrid,3590,2990,2590,2026 Springer Nature hybrid journals.pdf
1439-4359,14394359,Deutsche Zeitschrift für Akupunktur,deutsche zeitschrift f r akupunktur,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2524-3454,25243454,DGNeurologie,dgneurologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
1432-0428,14320428,Diabetologia,diabetologia,Springer Nature,Springer,hybrid,4990,4190,3590,2026 Springer Nature hybrid journals.pdf
2190-1686,21901686,Diabetology International,diabetology international,Springer Nature,Springer,hybrid,3690,3090,2690,2026 Springer Nature hybrid journals.pdf
1573-0786,15730786,Dialectical Anthropology,dialectical anthropology,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2731-6866,27316866,Die Anaesthesiologie,die anaesthesiologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7455,27317455,Die Diabetologie,die diabetologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7439,27317439,Die Gastroenterologie,die gastroenterologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7099,27317099,Die Innere Medizin,die innere medizin,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7137,27317137,Die Kardiologie,die kardiologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7498,27317498,Die MKG-Chirurgie,die mkg chirurgie,Springer Nature,SpringerMedizin,hybrid,3590,2990,2590,2026 Springer Nature hybrid journals.pdf
2731-7471,27317471,Die Nephrologie,die nephrologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7234,27317234,Die Onkologie,die onkologie,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7218,27317218,Die Ophthalmologie,die ophthalmologie,Springer Nature,Yes,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
2731-7153,27317153,Die Orthopädie,die orthop die,Springer Nature,SpringerMedizin,hybrid,3490,2890,2490,2026 Springer Nature hybrid journals.pdf
0974-6870,09746870,Differential Equations and Dynamical Systems,differential equations dynamical systems,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2199-3254,21993254,Digital Experiences in Mathematics Education,digital experiences mathematics education,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2524-6186,25246186,Digital Finance,digital finance,Springer Nature,Springer,hybrid,3590,2990,2690,2026 Springer Nature hybrid journals.pdf
2731-4669,27314669,Digital Society,digital society,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2662-1983,26621983,Digital War,digital war,Springer Nature,Palgrave Macmillan,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1432-0444,14320444,Discrete & Computational Geometry,discrete computational geometry,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1573-7594,15737594,Discrete Event Dynamic Systems,discrete event dynamic systems,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1573-7578,15737578,Distributed and Parallel Databases,distributed parallel databases,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1432-0452,14320452,Distributed Computing,distributed computing,Springer Nature,Springer,hybrid,3590,2890,2590,2026 Springer Nature hybrid journals.pdf
1573-2622,15732622,Documenta Ophthalmologica,documenta ophthalmologica,Springer Nature,Springer,hybrid,4290,3290,2790,2026 Springer Nature hybrid journals.pdf
2190-3948,21903948,Drug Delivery and Translational Research,drug delivery translational research,Springer Nature,Springer,hybrid,4890,3990,3190,2026 Springer Nature hybrid journals.pdf
1179-1942,11791942,Drug Safety,drug safety,Springer Nature,Adis,hybrid,5190,3990,3190,2026 Springer Nature hybrid journals.pdf
1179-1943,11791943,Drugs,drugs,Springer Nature,Adis,hybrid,6290,4990,4190,2026 Springer Nature hybrid journals.pdf
1179-1969,11791969,Drugs & Aging,drugs aging,Springer Nature,Adis,hybrid,5290,4090,3290,2026 Springer Nature hybrid journals.pdf
1179-1977,11791977,Drugs & Therapy Perspectives,drugs therapy perspectives,Springer Nature,Adis,hybrid,3590,2890,2490,2026 Springer Nature hybrid journals.pdf
2153-0793,21530793,Dynamic Games and Applications,dynamic games applications,Springer Nature,Birkhäuser,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1432-0460,14320460,Dysphagia,dysphagia,Springer Nature,Springer,hybrid,4890,3890,3090,2026 Springer Nature hybrid journals.pdf
1613-7620,16137620,e+i Elektrotechnik und Informationstechnik,e i elektrotechnik und informationstechnik,Springer Nature,Springer,hybrid,3590,2990,2590,2026 Springer Nature hybrid journals.pdf
1573-1707,15731707,Early Childhood Education Journal,early childhood education journal,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1865-0481,18650481,Earth Science Informatics,earth science informatics,Springer Nature,Springer,hybrid,3990,3090,2690,2026 Springer Nature hybrid journals.pdf
2509-9434,25099434,Earth Systems and Environment,earth systems environment,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
1874-6284,18746284,East Asia,east asia,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1939-4632,19394632,Eastern Economic Journal,eastern economic journal,Springer Nature,Palgrave Macmillan,hybrid,3290,2790,2390,2026 Springer Nature hybrid journals.pdf
1612-9210,16129210,EcoHealth,ecohealth,Springer Nature,Springer,hybrid,3890,2990,2590,2026 Springer Nature hybrid journals.pdf
1973-820X,1973820X,Economia Politica,economia politica,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1874-9364,18749364,Economic Botany,economic botany,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
1574-0277,15740277,Economic Change and Restructuring,economic change restructuring,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1432-0479,14320479,Economic Theory,economic theory,Springer Nature,No,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
2196-1093,21961093,Economic Theory Bulletin,economic theory bulletin,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
2511-1299,25111299,Economics of Disasters and Climate Change,economics disasters climate change,Springer Nature,Springer,hybrid,3090,2490,2190,2026 Springer Nature hybrid journals.pdf
1435-8131,14358131,Economics of Governance,economics governance,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1435-0629,14350629,Ecosystems,ecosystems,Springer Nature,Springer,hybrid,4990,3990,3090,2026 Springer Nature hybrid journals.pdf
1573-3017,15733017,Ecotoxicology,ecotoxicology,Springer Nature,Springer,hybrid,4190,3190,2790,2026 Springer Nature hybrid journals.pdf
1573-7608,15737608,Education and Information Technologies,education information technologies,Springer Nature,Springer,hybrid,3690,2990,2690,2026 Springer Nature hybrid journals.pdf
1934-8924,19348924,Education and Treatment of Children,education treatment children,Springer Nature,Springer,hybrid,3090,2490,2190,2026 Springer Nature hybrid journals.pdf
1874-8600,18748600,"Educational Assessment, Evaluation and Accountability",educational assessment evaluation accountability,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1573-336X,1573336X,Educational Psychology Review,educational psychology review,Springer Nature,Springer,hybrid,4990,3990,3090,2026 Springer Nature hybrid journals.pdf
1573-1723,15731723,Educational Research for Policy and Practice,educational research policy practice,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1573-0816,15730816,Educational Studies in Mathematics,educational studies mathematics,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1556-6501,15566501,Educational technology research and development,educational technology research development,Springer Nature,Springer,hybrid,3590,2890,2590,2026 Springer Nature hybrid journals.pdf
1432-0487,14320487,Electrical Engineering,electrical engineering,Springer Nature,Springer,hybrid,4390,3290,2890,2026 Springer Nature hybrid journals.pdf
1868-5994,18685994,Electrocatalysis,electrocatalysis,Springer Nature,Springer,hybrid,4290,3190,2790,2026 Springer Nature hybrid journals.pdf
2520-8136,25208136,Electrochemical Energy Reviews,electrochemical energy reviews,Springer Nature,Springer,hybrid,3590,2890,2590,2026 Springer Nature hybrid journals.pdf
1572-9362,15729362,Electronic Commerce Research,electronic commerce research,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1422-8890,14228890,Electronic Markets,electronic markets,Springer Nature,Springer,hybrid,3690,2990,2690,2026 Springer Nature hybrid journals.pdf
1438-1435,14381435,Emergency Radiology,emergency radiology,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
2522-574X,2522574X,Emergent Materials,emergent materials,Springer Nature,Springer,hybrid,2890,2290,1990,2026 Springer Nature hybrid journals.pdf
2199-3637,21993637,Emission Control Science and Technology,emission control science technology,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1573-6911,15736911,Empirica,empirica,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1435-8921,14358921,Empirical Economics,empirical economics,Springer Nature,Springer,hybrid,3590,2890,2590,2026 Springer Nature hybrid journals.pdf
1573-7616,15737616,Empirical Software Engineering,empirical software engineering,Springer Nature,Springer,hybrid,3390,2790,2390,2026 Springer Nature hybrid journals.pdf
1573-3378,15733378,Employee Responsibilities and Rights Journal,employee responsibilities rights journal,Springer Nature,Springer,hybrid,3390,2790,2390,2026 Springer Nature hybrid journals.pdf
1559-0100,15590100,Endocrine,endocrine,Springer Nature,Springer,hybrid,5190,3990,3190,2026 Springer Nature hybrid journals.pdf
1559-0097,15590097,Endocrine Pathology,endocrine pathology,Springer Nature,Springer,hybrid,5290,4190,3290,2026 Springer Nature hybrid journals.pdf
1570-6478,15706478,Energy Efficiency,energy efficiency,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1868-3975,18683975,Energy Systems,energy systems,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1435-5663,14355663,Engineering with Computers,engineering with computers,Springer Nature,Springer,hybrid,3290,2590,2290,2026 Springer Nature hybrid journals.pdf
2522-8560,25228560,English Teaching & Learning,english teaching learning,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2520-8152,25208152,Entrepreneurship Education,entrepreneurship education,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2194-5411,21945411,Environment Systems and Decisions,environment systems decisions,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1573-2975,15732975,"Environment, Development and Sustainability",environment development sustainability,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1573-3009,15733009,Environmental and Ecological Statistics,environmental ecological statistics,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1573-1502,15731502,Environmental and Resource Economics,environmental resource economics,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1573-5133,15735133,Environmental Biology of Fishes,environmental biology fishes,Springer Nature,Springer,hybrid,3690,2990,2590,2026 Springer Nature hybrid journals.pdf
1610-3661,16103661,Environmental Chemistry Letters,environmental chemistry letters,Springer Nature,Springer,hybrid,5390,4190,3290,2026 Springer Nature hybrid journals.pdf
1867-383X,1867383X,Environmental Economics and Policy Studies,environmental economics policy studies,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1573-1510,15731510,Environmental Fluid Mechanics,environmental fluid mechanics,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1573-2983,15732983,Environmental Geochemistry and Health,environmental geochemistry health,Springer Nature,Springer,hybrid,4190,3190,2790,2026 Springer Nature hybrid journals.pdf
1432-1009,14321009,Environmental Management,environmental management,Springer Nature,Springer,hybrid,4290,3190,2790,2026 Springer Nature hybrid journals.pdf
1573-2967,15732967,Environmental Modeling & Assessment,environmental modeling assessment,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1573-2959,15732959,Environmental Monitoring and Assessment,environmental monitoring assessment,Springer Nature,Springer,hybrid,4490,3390,2990,2026 Springer Nature hybrid journals.pdf
2198-7505,21987505,Environmental Processes,environmental processes,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1614-7499,16147499,Environmental Science and Pollution Research,environmental science pollution research,Springer Nature,Springer,hybrid,4390,3290,2890,2026 Springer Nature hybrid journals.pdf
2523-8922,25238922,Environmental Sustainability,environmental sustainability,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1878-5085,18785085,EPMA Journal,epma journal,Springer Nature,Springer,hybrid,4790,3790,2990,2026 Springer Nature hybrid journals.pdf
1863-9038,18639038,ERA Forum,era forum,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1572-8420,15728420,Erkenntnis,erkenntnis,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1612-9067,16129067,Esophagus,esophagus,Springer Nature,Springer,hybrid,3690,2890,2490,2026 Springer Nature hybrid journals.pdf
1559-2731,15592731,Estuaries and Coasts,estuaries coasts,Springer Nature,Springer,hybrid,3890,2990,2590,2026 Springer Nature hybrid journals.pdf
1572-8447,15728447,Ethical Theory and Moral Practice,ethical theory moral practice,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1572-8439,15728439,Ethics and Information Technology,ethics information technology,Springer Nature,Springer,hybrid,3290,2590,2290,2026 Springer Nature hybrid journals.pdf
1437-1618,14371618,Ethik in der Medizin,ethik der medizin,Springer Nature,Springer,hybrid,3290,2790,2390,2026 Springer Nature hybrid journals.pdf
1573-5060,15735060,Euphytica,euphytica,Springer Nature,Springer,hybrid,3690,2890,2490,2026 Springer Nature hybrid journals.pdf
2147-4281,21474281,Eurasian Business Review,eurasian business review,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
2147-429X,2147429X,Eurasian Economic Review,eurasian economic review,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2365-7448,23657448,Euro-Mediterranean Journal for Environmental Integration,euro mediterranean journal environmental integration,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
2190-9741,21909741,European Actuarial Journal,european actuarial journal,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1434-4726,14344726,European Archives of Oto-Rhino-Laryngology,european archives oto rhino laryngology,Springer Nature,Springer,hybrid,4790,3790,2990,2026 Springer Nature hybrid journals.pdf
1996-9805,19969805,European Archives of Paediatric Dentistry,european archives paediatric dentistry,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
1433-8491,14338491,European Archives of Psychiatry and Clinical Neuroscience,european archives psychiatry clinical neuroscience,Springer Nature,Springer,hybrid,5090,4090,3190,2026 Springer Nature hybrid journals.pdf
1432-1017,14321017,European Biophysics Journal,european biophysics journal,Springer Nature,Springer,hybrid,4190,3090,2690,2026 Springer Nature hybrid journals.pdf
1741-6205,17416205,European Business Organization Law Review,european business organization law review,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1435-165X,1435165X,European Child & Adolescent Psychiatry,european child adolescent psychiatry,Springer Nature,Springer,hybrid,4990,3990,3090,2026 Springer Nature hybrid journals.pdf
1438-2385,14382385,European Food Research and Technology,european food research technology,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
1878-7657,18787657,European Geriatric Medicine,european geriatric medicine,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1879-4920,18794920,European Journal for Philosophy of Science,european journal philosophy science,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
2365-1695,23651695,European Journal for Security Research,european journal security research,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1439-6327,14396327,European Journal of Applied Physiology,european journal applied physiology,Springer Nature,Springer,hybrid,4590,3890,2990,2026 Springer Nature hybrid journals.pdf
1435-4373,14354373,European Journal of Clinical Microbiology & Infectious Diseases,european journal clinical microbiology infectious diseases,Springer Nature,Springer,hybrid,4790,3790,2990,2026 Springer Nature hybrid journals.pdf
1476-5640,14765640,European Journal of Clinical Nutrition,european journal clinical nutrition,Springer Nature,Springer Nature,hybrid,5390,4390,3690,2026 Springer Nature hybrid journals.pdf
1432-1041,14321041,European Journal of Clinical Pharmacology,european journal clinical pharmacology,Springer Nature,Springer,hybrid,5090,3990,3190,2026 Springer Nature hybrid journals.pdf
2107-0180,21070180,European Journal of Drug Metabolism and Pharmacokinetics,european journal drug metabolism pharmacokinetics,Springer Nature,Adis,hybrid,4390,3290,2890,2026 Springer Nature hybrid journals.pdf
1573-7284,15737284,European Journal of Epidemiology,european journal epidemiology,Springer Nature,Springer,hybrid,5690,4590,3790,2026 Springer Nature hybrid journals.pdf
1612-4677,16124677,European Journal of Forest Research,european journal forest research,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
1476-5438,14765438,European Journal of Human Genetics,european journal human genetics,Springer Nature,Springer Nature,hybrid,4290,3290,2890,2026 Springer Nature hybrid journals.pdf
1572-9990,15729990,European Journal of Law and Economics,european journal law economics,Springer Nature,Springer,hybrid,3590,2890,2590,2026 Springer Nature hybrid journals.pdf
2199-6768,21996768,European Journal of Mathematics,european journal mathematics,Springer Nature,Springer,hybrid,3490,2890,2590,2026 Springer Nature hybrid journals.pdf
1619-7089,16197089,European Journal of Nuclear Medicine and Molecular Imaging,european journal nuclear medicine molecular imaging,Springer Nature,Springer,hybrid,5390,4290,3590,2026 Springer Nature hybrid journals.pdf
1436-6215,14366215,European Journal of Nutrition,european journal nutrition,Springer Nature,Springer,hybrid,4690,3590,2990,2026 Springer Nature hybrid journals.pdf
1432-1068,14321068,European Journal of Orthopaedic Surgery & Traumatology,european journal orthopaedic surgery traumatology,Springer Nature,Springer,hybrid,4290,3190,2790,2026 Springer Nature hybrid journals.pdf
1432-1076,14321076,European Journal of Pediatrics,european journal pediatrics,Springer Nature,Springer,hybrid,4990,3990,3090,2026 Springer Nature hybrid journals.pdf
1573-8469,15738469,European Journal of Plant Pathology,european journal plant pathology,Springer Nature,Springer,hybrid,3990,3090,2690,2026 Springer Nature hybrid journals.pdf
1435-0130,14350130,European Journal of Plastic Surgery,european journal plastic surgery,Springer Nature,Springer,hybrid,4190,3290,2890,2026 Springer Nature hybrid journals.pdf
1878-5174,18785174,European Journal of Psychology of Education,european journal psychology education,Springer Nature,Springer,hybrid,3490,2790,2490,2026 Springer Nature hybrid journals.pdf
1863-9941,18639941,European Journal of Trauma and Emergency Surgery,european journal trauma emergency surgery,Springer Nature,Springer,hybrid,3690,2990,2590,2026 Springer Nature hybrid journals.pdf
1439-0574,14390574,European Journal of Wildlife Research,european journal wildlife research,Springer Nature,Springer,hybrid,4490,3390,2990,2026 Springer Nature hybrid journals.pdf
1436-736X,1436736X,European Journal of Wood and Wood Products,european journal wood wood products,Springer Nature,Springer,hybrid,3990,3090,2690,2026 Springer Nature hybrid journals.pdf
1572-9869,15729869,European Journal on Criminal Policy and Research,european journal criminal policy research,Springer Nature,Springer,hybrid,3190,2590,2290,2026 Springer Nature hybrid journals.pdf
1432-1084,14321084,European Radiology,european radiology,Springer Nature,Springer,hybrid,4590,3890,2990,2026 Springer Nature hybrid journals.pdf
1432-0932,14320932,European Spine Journal,european spine journal,Springer Nature,Springer,hybrid,4590,3490,2890,2026 Springer Nature hybrid journals.pdf
1682-4016,16824016,European Surgery,european surgery,Springer Nature,SpringerMedizin,hybrid,4490,3790,3290,2026 Springer Nature hybrid journals.pdf
1476-5446,14765446,Evidence-Based Dentistry,evidence based dentistry,Springer Nature,Springer Nature,hybrid,4990,4090,3290,2026 Springer Nature hybrid journals.pdf
2188-2096,21882096,Evolutionary and Institutional Economics Review,evolutionary institutional economics review,Springer Nature,Springer,hybrid,3090,2490,2190,2026 Springer Nature hybrid journals.pdf
1934-2845,19342845,Evolutionary Biology,evolutionary biology,Springer Nature,Springer,hybrid,3690,2790,2390,2026 Springer Nature hybrid journals.pdf
1573-8477,15738477,Evolutionary Ecology,evolutionary ecology,Springer Nature,Springer,hybrid,4190,3190,2790,2026 Springer Nature hybrid journals.pdf
1864-5917,18645917,Evolutionary Intelligence,evolutionary intelligence,Springer Nature,Springer,hybrid,3590,2990,2690,2026 Springer Nature hybrid journals.pdf
2198-9885,21989885,Evolutionary Psychological Science,evolutionary psychological science,Springer Nature,Springer,hybrid,3390,2790,2490,2026 Springer Nature hybrid journals.pdf
1868-6486,18686486,Evolving Systems,evolving systems,Springer Nature,Springer,hybrid,3690,2990,2690,2026 Springer Nature hybrid journals.pdf
1572-9702,15729702,Experimental and Applied Acarology,experimental applied acarology,Springer Nature,Springer,hybrid,3790,2890,2490,2026 Springer Nature hybrid journals.pdf
1572-9508,15729508,Experimental Astronomy,experimental astronomy,Springer Nature,Springer,hybrid,3990,3090,2690,2026 Springer Nature hybrid journals.pdf
1432-1106,14321106,Experimental Brain Research,experimental brain research,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
1741-2765,17412765,Experimental Mechanics,experimental mechanics,Springer Nature,Springer,hybrid,3790,2890,2490,2026 Springer Nature hybrid journals.pdf
1747-1567,17471567,Experimental Techniques,experimental techniques,Springer Nature,Springer,hybrid,3290,2690,2390,2026 Springer Nature hybrid journals.pdf
1432-1114,14321114,Experiments in Fluids,experiments fluids,Springer Nature,Springer,hybrid,4090,3090,2690,2026 Springer Nature hybrid journals.pdf
2451-9685,24519685,Exposure and Health,exposure health,Springer Nature,Springer,hybrid,3890,2990,2590,2026 Springer Nature hybrid journals.pdf
1572-915X,1572915X,Extremes,extremes,Springer Nature,Springer,hybrid,3390,2790,2390,2026 Springer Nature hybrid journals.pdf
